account_length,international_plan,voice_mail_plan,total_intl_charge,number_customer_service_calls,churn,total_call,total_minutes,total_charge
107,0,1,3.7,1,no,329,611.5,55.540000000000006
137,0,0,3.29,0,no,328,527.2,59.00000000000001
84,1,0,1.78,2,no,248,558.1999999999999,65.02
75,1,0,2.73,3,no,356,501.9,49.36
121,0,1,2.03,3,no,314,779.3000000000001,76.28
147,1,0,1.92,0,no,269,471.90000000000003,44.980000000000004
117,0,0,2.35,1,no,267,751.9000000000001,70.97
141,1,1,3.02,0,no,292,807.0,77.52
65,0,0,3.43,4,yes,331,566.4000000000001,50.77
74,0,0,2.46,0,no,369,547.1,54.62
168,0,0,3.02,1,no,295,374.8,37.17
95,0,0,3.32,3,no,278,596.5,56.32
161,0,0,1.46,4,yes,292,811.3000000000001,90.83000000000001
85,0,1,3.73,1,no,304,566.5999999999999,61.28999999999999
76,0,1,2.7,1,no,239,568.2,57.800000000000004
73,0,0,3.51,1,no,252,576.7,60.39
147,0,0,2.86,0,no,343,603.5999999999999,56.14
77,0,0,1.54,5,yes,274,441.9,34.48
130,0,0,2.57,0,no,289,437.70000000000005,45.49
111,0,0,2.08,2,no,310,437.3,38.97
132,0,0,2.78,0,no,273,563.3,45.3
57,0,1,2.57,0,no,342,586.8,60.67
54,0,0,3.97,3,no,241,391.9,40.64
20,0,0,1.7,0,no,295,629.7,62.42
49,0,0,3.0,1,no,316,513.0999999999999,46.6
75,0,0,2.78,1,no,310,673.8,66.64999999999999
12,0,0,3.19,1,yes,327,782.2,76.49
57,0,1,2.24,0,no,285,585.3,56.25
36,0,1,3.92,0,no,317,438.1,44.5
78,0,0,2.7,1,no,288,582.3,51.5
136,1,1,2.84,3,no,312,493.2,55.19
98,0,0,2.54,3,no,322,480.90000000000003,44.099999999999994
135,1,1,3.94,0,yes,270,499.2,52.26
34,0,0,2.7,2,no,258,718.5,59.22999999999999
160,0,0,2.48,3,no,279,429.6,36.67
64,0,0,0.95,1,no,271,645.1,57.31
59,0,1,2.3,2,no,305,497.0,46.0
65,0,0,3.56,3,no,360,508.59999999999997,55.800000000000004
142,0,0,2.0,2,no,334,563.8,54.129999999999995
97,0,1,2.97,1,no,272,421.0,44.28
52,0,0,2.11,3,no,291,698.5,66.21
60,0,0,1.84,1,no,301,680.7,66.65
10,0,0,3.08,2,no,235,659.0999999999999,60.540000000000006
96,0,0,2.51,2,no,252,656.2,60.25
81,0,0,2.75,1,no,250,695.0,63.19
141,0,0,2.16,1,no,288,447.7,43.21000000000001
121,0,1,1.57,3,yes,283,454.9,48.279999999999994
125,0,0,3.24,1,no,324,596.0,62.58
174,0,0,3.08,1,no,245,528.6,54.599999999999994
116,0,1,3.13,2,no,331,613.1,68.28999999999999
149,0,1,3.4,3,no,209,634.0,58.629999999999995
38,0,0,2.21,2,no,301,453.1,43.3
40,0,1,1.67,2,no,264,531.7,49.220000000000006
43,1,0,2.51,0,no,276,622.1,67.94999999999999
113,1,0,2.24,0,no,351,460.90000000000003,44.64
126,0,0,2.11,1,no,210,582.0,61.31999999999999
150,0,0,3.73,4,yes,311,496.6,51.47
138,0,0,3.19,3,no,280,707.6,68.89
162,0,1,3.27,0,no,242,667.7,65.69
147,0,0,2.16,3,no,277,570.0,62.68
90,0,0,1.97,1,no,368,582.5,60.709999999999994
85,0,0,3.24,0,no,302,581.2,61.92
50,0,0,1.65,1,no,273,561.8,53.849999999999994
82,0,0,3.16,0,yes,282,751.4000000000001,78.59
144,0,0,2.21,4,yes,301,311.7,24.81
46,0,0,2.21,2,no,289,556.0,58.36
70,0,0,4.05,1,no,276,554.0,52.41
144,0,0,3.56,1,no,292,728.6,70.07
116,1,0,3.4,3,no,292,698.7,66.56
